runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.1318209171295166,1,1,3
1.592127799987793,5,5,11
1.1097862720489502,1,0,2
1.2709014415740967,3,2,6
1.9473817348480225,11,7,19
1.1788361072540283,2,0,3
1.1488125324249268,1,1,3
1.2238667011260986,4,4,9
1.8062810897827148,5,3,9
1.200850248336792,6,1,8
1.0817670822143555,1,0,2
0.9576785564422607,1,1,3
1.296919822692871,8,5,14
1.0247256755828857,2,1,4
1.5821220874786377,8,5,14
1.0967772006988525,2,1,4
1.031731367111206,1,0,2
1.2228686809539795,2,0,3
1.5801215171813965,8,5,14
1.0627527236938477,1,1,3
1.0967769622802734,2,0,3
1.1347856521606445,4,4,9
1.6211488246917725,8,6,15
1.0987608432769775,1,1,3
1.902348518371582,8,8,17
1.5821022987365723,5,3,9
1.3709721565246582,4,2,7
1.5090701580047607,7,6,14
1.188843011856079,3,3,7
1.2949182987213135,3,1,5
1.2158644199371338,5,1,7
1.1238155364990234,2,1,4
1.3319261074066162,3,1,5
2.4227182865142822,2,0,3
1.1458117961883545,2,1,4
1.3099305629730225,3,2,6
1.39198637008667,6,5,12
1.5711143016815186,9,6,16
1.37495756149292,1,0,2
1.4220092296600342,8,8,17
1.4390015602111816,8,5,14
1.4540314674377441,6,4,11
1.16682767868042,1,0,2
1.3629658222198486,3,3,7
1.1708300113677979,3,0,4
1.1378052234649658,3,0,4
1.1478137969970703,1,0,2
1.0747616291046143,1,0,2
1.0507442951202393,1,1,3
1.109785556793213,4,2,7
1.1688282489776611,3,1,5
1.2088572978973389,4,2,7
1.2688820362091064,2,1,4
1.2188453674316406,3,1,5
0.9866998195648193,1,1,3
1.3479366302490234,4,0,5
1.5370886325836182,8,8,17
1.1618239879608154,2,0,3
1.0057132244110107,2,0,3
1.267899751663208,3,2,6
1.312932014465332,3,1,5
1.095778465270996,2,0,3
0.9806764125823975,1,1,3
1.2268702983856201,2,0,3
1.0937747955322266,1,1,3
1.0797648429870605,1,1,3
1.0317325592041016,2,0,3
1.0787651538848877,2,1,4
1.1157886981964111,1,0,2
1.2949204444885254,4,3,8
1.5931267738342285,6,4,11
0.9997081756591797,1,0,2
0.96970534324646,1,0,2
1.4230098724365234,6,6,13
1.0737614631652832,2,0,3
1.109804630279541,2,0,3
1.259892463684082,4,1,6
1.0187206268310547,1,1,3
1.1507971286773682,2,1,4
1.1428110599517822,2,1,4
1.4680228233337402,8,6,15
1.3649680614471436,7,5,13
1.0997798442840576,4,1,6
1.066774845123291,2,1,4
1.1808373928070068,4,0,5
1.2668814659118652,3,2,6
1.035736083984375,2,0,3
1.044740915298462,1,1,3
1.0597503185272217,3,0,4
1.144791603088379,3,0,4
1.0106983184814453,1,0,2
1.1628239154815674,3,0,4
1.0707409381866455,4,0,5
1.2268519401550293,5,4,10
1.0857698917388916,2,2,5
0.9997096061706543,1,0,2
1.2969186305999756,4,4,9
1.0117173194885254,2,0,3
1.212860107421875,4,4,9
1.1388075351715088,5,1,7
1.3839631080627441,8,3,12
1.0177035331726074,1,1,3
1.417003870010376,4,4,9
1.3179354667663574,8,3,12
1.035733699798584,2,1,4
1.354961633682251,6,2,9
1.0457401275634766,3,3,7
0.9716892242431641,1,0,2
1.2318530082702637,4,2,7
1.1758346557617188,4,2,7
1.1487963199615479,2,1,4
1.4940426349639893,4,1,6
1.4240286350250244,11,8,20
1.0467424392700195,1,1,3
1.1598408222198486,3,2,6
1.284893274307251,2,2,5
1.0047118663787842,3,0,4
0.9947237968444824,2,0,3
1.0217061042785645,2,2,5
0.972689151763916,1,1,3
1.0097157955169678,3,3,7
1.043738842010498,1,0,2
1.3209176063537598,4,2,7
1.209857702255249,7,0,8
1.2859113216400146,3,3,7
0.9626827239990234,2,0,3
1.0997803211212158,1,0,2
1.3369479179382324,6,5,12
1.2018532752990723,4,1,6
0.9786946773529053,2,0,3
1.0627717971801758,3,2,6
0.9566600322723389,2,0,3
1.0417563915252686,1,0,2
1.0337324142456055,1,0,2
1.1268160343170166,2,2,5
1.2538890838623047,6,1,8
1.2268707752227783,2,1,4
1.142812728881836,5,3,9
1.5200788974761963,4,1,6
1.062753677368164,2,0,3
1.0337324142456055,2,1,4
1.1207904815673828,1,0,2
1.1908230781555176,4,3,8
1.136805772781372,5,1,7
1.052764892578125,3,1,5
1.2168631553649902,5,4,10
0.9937231540679932,1,0,2
1.5521013736724854,8,6,15
1.0577681064605713,3,0,4
1.1348047256469727,5,0,6
1.000708818435669,2,0,3
0.9957060813903809,2,1,4
1.078747034072876,3,1,5
1.24686598777771,3,3,7
1.2318735122680664,5,0,6
1.0257275104522705,3,2,6
1.0957772731781006,4,3,8
1.0457241535186768,1,1,3
1.2529075145721436,3,3,7
1.2028522491455078,3,2,6
0.9896833896636963,1,1,3
1.0827500820159912,1,0,2
1.4600353240966797,11,10,22
2.9540956020355225,24,18,43
1.1027827262878418,2,1,4
1.3639674186706543,5,1,7
1.1738333702087402,4,1,6
1.0867705345153809,2,1,4
1.3989920616149902,7,4,12
1.0827670097351074,4,1,6
1.1738324165344238,3,3,7
1.0317308902740479,1,1,3
0.9216527938842773,2,0,3
1.1077861785888672,1,0,2
0.9996929168701172,1,1,3
1.0467431545257568,1,1,3
1.6071388721466064,10,9,20
1.0507643222808838,2,1,4
1.1668269634246826,4,2,7
1.2989211082458496,6,4,11
1.2709014415740967,5,3,9
1.1978466510772705,5,5,11
1.0197224617004395,1,0,2
1.0507450103759766,2,1,4
1.1027822494506836,2,1,4
1.0797476768493652,1,0,2
1.114788293838501,4,1,6
1.0497443675994873,1,1,3
1.0257289409637451,4,1,6
1.226869821548462,2,1,4
1.0177226066589355,3,1,5
1.0547478199005127,3,3,7
1.0777637958526611,1,1,3
1.0787651538848877,2,1,4
1.14080810546875,3,1,5
0.9766931533813477,1,1,3
1.6111419200897217,3,3,7
1.1738324165344238,4,2,7
1.130781888961792,3,3,7
1.2048535346984863,3,3,7
1.1287994384765625,3,0,4
1.058732509613037,2,1,4
1.000709056854248,1,0,2
1.1017813682556152,2,0,3
1.0027110576629639,3,0,4
1.0737614631652832,2,1,4
1.1097867488861084,1,0,2
1.282907485961914,4,4,9
1.0547480583190918,2,0,3
1.188842535018921,3,3,7
1.0547471046447754,1,1,3
1.087770938873291,1,0,2
1.4580342769622803,7,5,13
4.267025947570801,33,33,67
1.6491694450378418,1,1,3
1.3979907035827637,1,1,3
1.6971862316131592,2,1,4
1.4290156364440918,3,1,5
1.7792603969573975,2,2,5
1.7182199954986572,7,6,14
1.2719011306762695,4,0,5
1.4069979190826416,5,2,8
1.4770259857177734,6,5,12
1.1197757720947266,1,1,3
1.1628246307373047,1,0,2
1.2999212741851807,2,0,3
1.3709723949432373,1,0,2
1.461036205291748,2,0,3
0.9646847248077393,1,0,2
1.4160041809082031,3,3,7
2.0644633769989014,12,9,22
1.1167914867401123,1,0,2
1.0647542476654053,4,2,7
0.9796950817108154,1,0,2
1.0997788906097412,2,1,4
0.9296600818634033,2,0,3
1.0227251052856445,2,0,3
1.0537471771240234,3,1,5
0.9887011051177979,1,1,3
1.1758334636688232,2,0,3
1.1548190116882324,3,0,4
1.0967769622802734,2,1,4
1.4089982509613037,7,6,14
0.9656665325164795,2,1,4
1.1187918186187744,3,1,5
1.172849178314209,3,1,5
1.047743797302246,1,1,3
1.094757318496704,1,0,2
1.1257991790771484,3,0,4
1.1287784576416016,1,0,2
1.0607521533966064,1,0,2
0.9366629123687744,1,1,3
1.2198662757873535,4,2,7
1.009716272354126,2,0,3
1.0467424392700195,3,1,5
1.2528877258300781,6,1,8
1.184840202331543,5,5,11
1.3399503231048584,6,4,11
1.7152163982391357,16,13,30
1.1047844886779785,2,2,5
1.7672677040100098,9,6,16
1.3099098205566406,4,4,9
1.170830249786377,1,1,3
1.467022180557251,7,4,12
1.0927560329437256,1,0,2
1.1227951049804688,4,0,5
1.3459546566009521,6,2,9
1.2558727264404297,5,3,9
0.9606812000274658,1,0,2
0.9776911735534668,3,2,6
1.1368062496185303,3,2,6
1.2288539409637451,6,5,12
0.9877007007598877,2,1,4
0.9796948432922363,1,0,2
1.3499572277069092,6,2,9
1.282909870147705,5,4,10
0.9076442718505859,2,0,3
1.1548190116882324,4,3,8
1.1217947006225586,3,2,6
1.1007623672485352,5,0,6
1.4600536823272705,10,8,19
0.9967067241668701,1,0,2
1.3689699172973633,11,10,22
0.9666852951049805,3,2,6
1.0117197036743164,1,0,2
1.2268879413604736,5,1,7
1.0037119388580322,1,0,2
1.2038531303405762,1,0,2
1.3669698238372803,2,0,3
1.0107357501983643,1,0,2
1.55409836769104,11,11,23
1.617128610610962,1,0,2
1.2358763217926025,2,0,3
1.4089908599853516,1,0,2
1.6851768493652344,12,9,22
1.138808250427246,1,0,2
1.461035966873169,6,5,12
1.1508171558380127,1,0,2
1.6471843719482422,1,0,2
1.1468124389648438,4,2,7
1.1688294410705566,1,1,3
1.1958465576171875,6,1,8
1.1878423690795898,3,1,5
1.4340176582336426,8,3,12
1.0897727012634277,3,2,6
1.271902084350586,1,1,3
1.2078571319580078,1,1,3
1.07676362991333,1,1,3
1.2238702774047852,6,3,10
1.9353716373443604,17,12,30
1.103764533996582,6,3,10
1.1548030376434326,2,2,5
1.2068722248077393,2,1,4
1.0187046527862549,1,1,3
1.240877628326416,5,4,10
1.1978492736816406,2,1,4
1.1898436546325684,2,0,3
1.3929872512817383,6,5,12
1.9713973999023438,3,2,6
1.0427393913269043,1,0,2
1.677189588546753,3,2,6
1.193845272064209,3,3,7
2.374683380126953,7,7,15
1.2158613204956055,4,1,6
1.7032079696655273,3,3,7
2.120502471923828,4,1,6
1.6962034702301025,1,0,2
1.1448299884796143,4,0,5
1.5230605602264404,2,2,5
2.883044481277466,4,4,9
2.0044212341308594,3,1,5
1.6821928024291992,3,0,4
2.0024192333221436,5,5,11
2.0484519004821777,3,1,5
1.450028419494629,4,2,7
1.6942028999328613,5,4,10
2.281616687774658,26,25,52
1.108785629272461,2,2,5
1.2518868446350098,7,1,9
1.2318737506866455,3,1,5
1.1318209171295166,1,1,3
0.9957237243652344,2,0,3
1.5540838241577148,4,2,7
1.153818130493164,6,6,13
1.2298729419708252,4,1,6
1.1928460597991943,1,1,3
1.1448118686676025,3,1,5
1.06074857711792,2,1,4
1.360964298248291,6,5,12
1.092775821685791,1,1,3
1.0457415580749512,3,0,4
2.5818302631378174,24,23,48
0.9596812725067139,3,0,4
1.0807664394378662,3,0,4
1.3269412517547607,4,3,8
0.9246556758880615,2,0,3
1.025728702545166,2,0,3
0.9987082481384277,1,1,3
1.125779628753662,1,0,2
1.8543331623077393,9,8,18
1.5981340408325195,8,7,16
1.1978509426116943,4,4,9
1.3099298477172852,4,2,7
1.0797855854034424,5,3,9
1.11979341506958,3,0,4
1.1457927227020264,2,2,5
1.178816795349121,7,4,12
1.5210788249969482,6,3,10
1.0717601776123047,2,1,4
0.936683177947998,1,0,2
0.916630744934082,1,0,2
1.0967772006988525,4,0,5
1.1348042488098145,3,1,5
1.0707595348358154,3,0,4
1.1218140125274658,2,1,4
0.9396488666534424,1,0,2
1.1568019390106201,6,1,8
1.0967776775360107,5,2,8
1.1437935829162598,3,0,4
1.0137181282043457,3,0,4
1.0827665328979492,2,1,4
1.1888418197631836,3,3,7
1.0277099609375,1,1,3
1.2508869171142578,6,5,12
1.2518877983093262,5,0,6
0.9266564846038818,1,0,2
0.9967067241668701,4,1,6
0.9546761512756348,2,0,3
1.2208516597747803,5,3,9
0.9346628189086914,1,1,3
1.1878437995910645,4,2,7
1.0367345809936523,2,1,4
1.0587339401245117,7,3,11
0.9286582469940186,2,2,5
0.9917023181915283,1,0,2
1.3429512977600098,4,3,8
1.1207940578460693,7,1,9
0.9897024631500244,1,0,2
2.347665786743164,6,3,10
1.0767459869384766,1,0,2
1.0167217254638672,1,0,2
0.9907019138336182,1,1,3
1.3319408893585205,12,5,18
1.049743890762329,2,1,4
1.325939416885376,3,1,5
1.0717418193817139,1,1,3
0.9877197742462158,3,0,4
0.9616644382476807,1,1,3
0.9846982955932617,1,0,2
1.557086706161499,7,4,12
1.182837963104248,6,1,8
0.9836969375610352,1,1,3
1.7462384700775146,9,7,17
0.9756903648376465,2,1,4
0.9456698894500732,3,0,4
0.9336614608764648,1,0,2
1.2278709411621094,6,4,11
1.1368062496185303,3,1,5
1.0847692489624023,2,0,3
0.9476711750030518,1,0,2
1.1247785091400146,3,1,5
1.1788361072540283,3,1,5
1.2709004878997803,6,4,11
1.674187183380127,9,6,16
1.1728289127349854,4,0,5
1.1197926998138428,3,3,7
1.176835298538208,5,4,10
1.1027827262878418,3,2,6
1.0367152690887451,2,2,5
1.1037812232971191,3,3,7
0.9526762962341309,3,2,6
1.134822130203247,6,0,7
0.9936854839324951,2,1,4
1.0097343921661377,3,1,5
1.1348228454589844,3,1,5
1.036736011505127,2,0,3
1.0817663669586182,1,1,3
1.0387358665466309,1,1,3
1.3819799423217773,9,4,14
0.9856982231140137,2,1,4
1.3999786376953125,8,8,17
1.0717599391937256,4,0,5
1.1127893924713135,2,0,3
0.9766912460327148,2,1,4
1.1658260822296143,1,0,2
1.1538174152374268,4,4,9
1.1227951049804688,1,1,3
1.0827670097351074,3,0,4
1.2628958225250244,10,8,19
1.041738748550415,5,1,7
1.069739818572998,2,0,3
1.1217947006225586,1,0,2
1.030730962753296,1,0,2
1.083768606185913,9,0,10
1.0187225341796875,4,1,6
1.2068560123443604,5,3,9
0.9096450805664062,1,0,2
1.0217063426971436,3,1,5
1.035752773284912,4,4,9
0.9276394844055176,1,1,3
1.0467402935028076,2,0,3
1.280907392501831,7,5,13
0.9166500568389893,1,1,3
1.0597331523895264,2,1,4
1.068739414215088,3,2,6
0.9226551055908203,1,0,2
1.0477423667907715,3,0,4
0.9436690807342529,1,0,2
1.8683245182037354,10,10,21
2.1145002841949463,16,15,32
1.2328743934631348,4,3,8
0.96468186378479,2,2,5
1.156820297241211,4,3,8
1.3519597053527832,5,0,6
1.6661815643310547,8,4,13
1.111788272857666,3,0,4
1.4140026569366455,16,13,30
1.0107159614562988,1,1,3
1.0477244853973389,2,1,4
1.2588934898376465,5,2,8
1.3239197731018066,5,3,9
1.0377528667449951,2,0,3
