runtime,number_of_splits,number_of_backtracks,number_of_simplifications
0.9216659069061279,2,1,4
0.8856277465820312,1,0,2
2.530775547027588,29,27,57
2.231581687927246,24,24,49
1.062753677368164,8,8,17
1.087789535522461,5,4,10
1.4020123481750488,11,9,21
1.3509564399719238,6,5,12
1.028728723526001,2,1,4
1.637178659439087,13,12,26
1.4430227279663086,14,12,27
1.0697579383850098,4,3,8
1.066756248474121,4,3,8
0.988701343536377,2,2,5
1.8673059940338135,15,14,30
1.6872138977050781,7,6,14
1.725205898284912,17,16,34
1.039754867553711,5,2,8
0.8776223659515381,1,0,2
0.9756917953491211,1,0,2
1.0957581996917725,8,7,16
1.2158613204956055,6,3,10
1.0227437019348145,3,1,5
1.3699707984924316,11,7,19
0.8856279850006104,3,0,4
1.9213628768920898,20,18,39
0.9066429138183594,3,1,5
0.9436869621276855,4,3,8
1.1318027973175049,5,4,10
1.649169683456421,18,15,34
1.0027110576629639,1,1,3
1.0177218914031982,2,1,4
1.9053516387939453,20,18,39
1.2398791313171387,8,7,16
1.124779224395752,5,5,11
1.2258696556091309,5,4,10
1.2478840351104736,10,10,21
0.995703935623169,3,1,5
1.7132151126861572,12,10,23
1.0547480583190918,8,7,16
1.0437209606170654,9,7,17
1.9703974723815918,26,24,51
1.902367115020752,21,17,39
0.9877009391784668,4,3,8
1.0437593460083008,7,4,12
0.8405768871307373,1,0,2
1.3409509658813477,5,3,9
1.1888422966003418,8,3,12
2.9140658378601074,38,36,75
0.9596989154815674,3,1,5
1.0057315826416016,4,2,7
1.2789056301116943,12,10,23
0.935662031173706,3,1,5
1.0227265357971191,4,2,7
2.0374441146850586,18,14,33
1.0337331295013428,5,2,8
1.0617530345916748,4,2,7
3.155219554901123,47,44,92
0.9846982955932617,3,2,6
1.5991339683532715,22,18,41
0.9757101535797119,2,1,4
0.9716885089874268,1,0,2
1.0887911319732666,3,2,6
0.962681770324707,2,1,4
1.1978492736816406,8,6,15
2.7709810733795166,38,37,76
1.0167388916015625,4,4,9
1.1478142738342285,7,7,15
1.061753749847412,2,1,4
0.9226720333099365,2,1,4
1.07175874710083,3,2,6
1.1187925338745117,5,5,11
1.030731201171875,6,6,13
2.5928378105163574,20,18,39
1.168828010559082,7,7,15
1.2529067993164062,9,7,17
0.9106462001800537,1,0,2
0.9686868190765381,5,4,10
2.167526960372925,27,27,55
1.1197941303253174,6,5,12
2.41571307182312,29,28,58
1.1147892475128174,1,1,3
0.8626115322113037,1,1,3
0.9806954860687256,4,3,8
1.2999403476715088,4,4,9
0.8335902690887451,3,1,5
1.6131439208984375,12,12,25
0.9106459617614746,3,3,7
0.9096627235412598,1,1,3
1.1848585605621338,9,7,17
1.090773582458496,5,4,10
1.0187232494354248,4,3,8
3.9898104667663574,63,62,126
1.0937740802764893,6,4,11
1.0277280807495117,6,5,12
0.986699104309082,1,1,3
1.667180061340332,16,11,28
1.009714126586914,2,2,5
0.9616813659667969,1,1,3
1.1298012733459473,6,4,11
1.2438819408416748,6,5,12
0.8566265106201172,1,0,2
1.1968295574188232,8,6,15
0.973707914352417,2,1,4
0.9466705322265625,3,3,7
1.0017104148864746,3,2,6
0.8906314373016357,4,2,7
1.0267271995544434,4,3,8
1.011716604232788,5,3,9
1.0207233428955078,6,4,11
1.788266658782959,17,15,33
1.1137890815734863,4,2,7
0.9026377201080322,3,3,7
0.9436688423156738,1,0,2
0.937664270401001,1,1,3
1.1568195819854736,6,5,12
1.2769057750701904,7,6,14
0.8125762939453125,1,1,3
0.9717073440551758,3,3,7
0.9096338748931885,2,1,4
0.9146463871002197,1,0,2
1.2098579406738281,10,8,19
0.944688081741333,4,2,7
0.8866257667541504,1,0,2
0.8766202926635742,2,1,4
1.153818130493164,7,5,13
0.937664270401001,3,1,5
1.4390196800231934,10,9,20
2.1485238075256348,29,29,59
1.7952728271484375,19,18,38
1.0777640342712402,8,8,17
0.979694128036499,4,3,8
0.9596805572509766,4,3,8
0.9366450309753418,3,2,6
1.4240095615386963,11,7,19
1.2759041786193848,14,12,27
1.8072829246520996,17,14,32
1.271902084350586,7,6,14
1.0887722969055176,4,2,7
0.9286580085754395,4,1,6
1.111769199371338,1,1,3
1.3329641819000244,8,7,16
1.0307486057281494,4,3,8
0.8355741500854492,1,1,3
0.9676852226257324,4,3,8
1.1548101902008057,7,6,14
1.204836130142212,11,9,21
2.272629976272583,34,33,68
1.1197941303253174,8,8,17
1.1478137969970703,6,4,11
1.0157203674316406,7,7,15
1.1348040103912354,8,8,17
1.0027110576629639,4,1,6
1.491056203842163,10,9,20
1.0807664394378662,4,2,7
0.9126455783843994,2,0,3
0.9546768665313721,3,2,6
0.9266564846038818,2,2,5
0.8746209144592285,5,3,9
0.9436686038970947,1,1,3
1.1668274402618408,8,7,16
1.0347340106964111,7,5,13
1.115790605545044,7,5,13
1.0647552013397217,8,7,16
0.9586620330810547,3,2,6
0.9416680335998535,3,1,5
0.9867162704467773,5,4,10
1.491058349609375,11,11,23
0.919651985168457,4,4,9
