runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.226867437362671,0,0,1
1.1618242263793945,2,0,3
1.0017118453979492,0,0,1
1.0177230834960938,1,1,3
1.1568214893341064,0,0,1
1.2258703708648682,2,0,3
1.1418113708496094,1,1,3
1.1217799186706543,1,1,3
1.3189547061920166,0,0,1
1.0777475833892822,2,0,3
1.1288020610809326,2,1,4
1.148815393447876,1,0,2
1.3749754428863525,4,3,8
1.6181681156158447,6,4,11
1.0387206077575684,1,0,2
0.9927053451538086,1,0,2
1.4970448017120361,6,6,13
1.1037836074829102,0,0,1
1.1328051090240479,2,0,3
1.2478876113891602,2,0,3
1.2669010162353516,4,1,6
1.0867722034454346,1,1,3
1.2128617763519287,2,1,4
1.3249406814575195,2,1,4
1.580141305923462,8,6,15
1.0897750854492188,0,0,1
1.120795488357544,0,0,1
1.2779226303100586,7,5,13
1.1177942752838135,0,0,1
1.1388089656829834,4,1,6
1.1177935600280762,2,1,4
1.2588939666748047,4,0,5
1.295919418334961,3,2,6
1.0747623443603516,2,0,3
1.0907750129699707,1,1,3
1.0287320613861084,0,0,1
1.1047849655151367,3,0,4
1.0097167491912842,0,0,1
1.2388801574707031,3,0,4
1.0607352256774902,1,0,2
0.9967081546783447,0,0,1
1.022745132446289,0,0,1
1.3099498748779297,3,0,4
1.170813798904419,4,0,5
1.268883466720581,5,4,10
1.1618247032165527,2,2,5
1.1988518238067627,0,0,1
1.0437226295471191,1,0,2
1.3319275379180908,4,4,9
1.0537490844726562,2,0,3
1.0587515830993652,0,0,1
1.0377373695373535,0,0,1
1.0577516555786133,0,0,1
1.1367919445037842,0,0,1
1.3749761581420898,4,4,9
1.101783037185669,0,0,1
1.1748340129852295,5,1,7
1.4860553741455078,8,3,12
1.0627551078796387,1,1,3
1.4039971828460693,4,4,9
1.0487444400787354,0,0,1
1.0727615356445312,0,0,1
1.2468862533569336,8,3,12
1.0787665843963623,2,1,4
1.0627553462982178,0,0,1
1.279909610748291,6,2,9
1.1047837734222412,3,3,7
1.0797665119171143,1,0,2
1.2699017524719238,4,2,7
1.2819099426269531,4,2,7
1.0227267742156982,0,0,1
1.1978507041931152,2,1,4
1.2498879432678223,4,1,6
1.1318044662475586,0,0,1
1.0927765369415283,0,0,1
1.0967786312103271,0,0,1
1.5060703754425049,11,8,20
1.0097174644470215,0,0,1
1.0777652263641357,1,1,3
1.0527503490447998,0,0,1
1.236879587173462,3,2,6
1.3249595165252686,2,2,5
1.061753749847412,3,0,4
1.0437417030334473,2,0,3
1.1007640361785889,2,2,5
1.0117182731628418,1,1,3
1.0417580604553223,0,0,1
1.0507457256317139,3,3,7
1.1237993240356445,1,0,2
1.424030065536499,4,2,7
1.1608247756958008,7,0,8
1.0327515602111816,0,0,1
1.2018365859985352,0,0,1
1.3639514446258545,3,3,7
1.1147918701171875,0,0,1
1.0537488460540771,2,0,3
1.216864824295044,1,0,2
1.3759779930114746,6,5,12
1.2648804187774658,4,1,6
1.112790822982788,2,0,3
1.1027843952178955,3,2,6
1.0717613697052002,0,0,1
1.0187242031097412,2,0,3
1.1308043003082275,1,0,2
1.0807671546936035,1,0,2
1.157822608947754,2,2,5
1.2568931579589844,6,1,8
1.286914587020874,2,1,4
1.0677595138549805,0,0,1
1.1338050365447998,0,0,1
1.2068586349487305,5,3,9
1.33693528175354,4,1,6
1.1117897033691406,0,0,1
1.0867722034454346,0,0,1
1.1388092041015625,2,0,3
1.0427219867706299,0,0,1
1.084751844406128,2,1,4
1.1478159427642822,1,0,2
1.185842752456665,0,0,1
1.3319458961486816,4,3,8
1.1918470859527588,5,1,7
1.0807855129241943,3,1,5
1.3019063472747803,5,4,10
